  Time           em1                 em2                 em3                 em4                bond0       
HH:MM:SS   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
16:08:20   3861.67  58120.18      0.00      0.00  29408.54  59382.35      0.00      0.00  33270.21  117502.5
16:08:21   3773.11  57257.45      0.00      0.00  31377.82  58624.94      0.00      0.00  35150.93  115882.4
16:08:22   2654.35  44138.92      0.00      0.00  32435.01   9839.99      0.00      0.00  35089.36  53978.92
16:08:23      0.14  11226.39      0.00      0.00  60796.73  24317.29      0.00      0.00  60796.87  35543.68
16:08:24      0.95  29318.41      0.00      0.00  57862.65  29571.66      0.00      0.00  57863.60  58890.07
16:08:25      1.17  27397.60      0.00      0.00  53152.84  35967.05      0.00      0.00  53154.01  63364.64
16:08:26   1899.95  56228.02      0.00      0.00  57370.48  60576.45      0.00      0.00  59270.42  116804.5
16:08:27   1557.29  53535.53      0.00      0.00  54314.39  79147.52      0.00      0.00  55871.69  132683.1
16:08:28   3878.41  86316.35      0.00      0.00  57271.50  87439.74      0.00      0.00  61149.91  173756.1
16:08:29   3489.95  78232.89      0.00      0.00  64963.65  42151.76      0.00      0.00  68453.60  120384.6
16:08:30      0.40  33599.97      0.00      0.00  69368.29  30352.87      0.00      0.00  69368.69  63952.84
16:08:31      0.48  30699.43      0.00      0.00  62755.96  33593.65      0.00      0.00  62756.45  64293.08
16:08:32      0.72  32904.91      0.00      0.00  61672.66  32524.42      0.00      0.00  61673.38  65429.33
16:08:33      0.40  33502.68      0.00      0.00  67342.48  35849.87      0.00      0.00  67342.88  69352.55
16:08:34      0.06  33727.67      0.00      0.00  64953.47  34519.26      0.00      0.00  64953.54  68246.93
16:08:35      2.06  35278.32      0.00      0.00  63916.84  33581.39      0.00      0.00  63918.90  68859.71
16:08:36      0.65  34556.49      0.00      0.00  63591.72  33589.63      0.00      0.00  63592.36  68146.12
16:08:37      0.64  34464.07      0.00      0.00  59527.33  31638.24      0.00      0.00  59527.97  66102.32
16:08:38      0.06  27915.28      0.00      0.00  53569.69  28849.34      0.00      0.00  53569.75  56764.62
16:08:39      0.40  30092.79      0.00      0.00  61643.56  32298.11      0.00      0.00  61643.96  62390.90
16:08:40      1.21  33764.63      0.00      0.00  61443.73  32129.83      0.00      0.00  61444.94  65894.46
16:08:41      0.20  28345.67      0.00      0.00  76618.91  27946.95      0.00      0.00  76619.11  56292.61
16:08:42      0.64  32097.77      0.00      0.00  69141.65  32996.63      0.00      0.00  69142.29  65094.40
16:08:43      0.64  33399.94      0.00      0.00  65518.54  33110.48      0.00      0.00  65519.18  66510.42
16:08:44      0.21  35559.81      0.00      0.00  74172.38  38013.75      0.00      0.00  74172.59  73573.56
16:08:45      0.64  37033.76      0.00      0.00  72231.31  36319.13      0.00      0.00  72231.95  73352.90
16:08:46      0.20  35651.82      0.00      0.00  75693.17  36691.63      0.00      0.00  75693.37  72343.46
16:08:47      0.06  37543.77      0.00      0.00  77846.12  39776.12      0.00      0.00  77846.19  77319.89
16:08:48      1.06  40724.72      0.00      0.00  74597.56  37390.82      0.00      0.00  74598.62  78115.53
16:08:49      0.06  38909.84      0.00      0.00  73193.77  37737.55      0.00      0.00  73193.83  76647.39
16:08:50      0.06  33296.90      0.00      0.00  74693.81  37668.06      0.00      0.00  74693.88  70964.96
16:08:51      0.06  39348.83      0.00      0.00  74365.07  37643.15      0.00      0.00  74365.13  76991.98
16:08:52      0.29  37449.27      0.00      0.00  73076.50  36913.21      0.00      0.00  73076.79  74362.48
16:08:53      0.06  34608.07      0.00      0.00  69198.48  34801.71      0.00      0.00  69198.54  69409.77
16:08:54      0.06  38199.12      0.00      0.00  69597.43  35114.53      0.00      0.00  69597.49  73313.65
16:08:55      0.64  34741.85      0.00      0.00  73237.89  36510.94      0.00      0.00  73238.54  71252.79
16:08:56      2.34  35437.28      0.00      0.00  70897.57  36139.37      0.00      0.00  70899.91  71576.65
16:08:57      0.06  39885.47      0.00      0.00  78543.53  38930.35      0.00      0.00  78543.59  78815.83
16:08:58      0.06  35637.40      0.00      0.00  64592.20  33316.29      0.00      0.00  64592.26  68953.69
16:08:59      0.98  22164.22      0.00      0.00  17519.02   1355.72      0.00      0.00  17520.00  23519.94
16:09:00      0.14   1542.56      0.00      0.00  28858.09   1469.43      0.00      0.00  28858.24   3011.99
16:09:01      0.06   1463.24      0.00      0.00  34064.27   1752.01      0.00      0.00  34064.33   3215.25
16:09:02      1.20   1965.47      0.00      0.00  33456.57   1767.47      0.00      0.00  33457.78   3732.93
16:09:03      3.91   1832.40      0.00      0.00  29124.40   1689.28      0.00      0.00  29128.31   3521.68
16:09:04      0.44   1564.48      0.00      0.00  27628.71   2409.67      0.00      0.00  27629.15   3974.15
16:09:05    185.50   2448.98      0.00      0.00  32277.90  16069.79      0.00      0.00  32463.40  18518.77
16:09:06   2043.24  25471.39      0.00      0.00  29387.50  29138.97      0.00      0.00  31430.74  54610.36
16:09:07   2316.49  27988.30      0.00      0.00  26559.54  27999.85      0.00      0.00  28876.03  55988.15
16:09:08   2208.96  28013.89      0.00      0.00  23854.66  25658.89      0.00      0.00  26063.62  53672.78
16:09:09   1241.66  15191.94      0.00      0.00  29405.08  16627.41      0.00      0.00  30646.74  31819.34
16:09:10   1936.80  25480.45      0.00      0.00  28799.30  35941.23      0.00      0.00  30736.10  61421.69
16:09:11   3183.23  40000.17      0.00      0.00  26718.10  39515.34      0.00      0.00  29901.34  79515.51
16:09:12   3255.25  39354.19      0.00      0.00  22248.42  38735.99      0.00      0.00  25503.67  78090.18
16:09:13   3096.91  38800.90      0.00      0.00  28112.37  38879.15      0.00      0.00  31209.28  77680.05
16:09:14   3111.21  38037.06      0.00      0.00  29491.70  24164.33      0.00      0.00  32602.91  62201.39
16:09:15    774.95  10311.00      0.00      0.00  36551.11    715.39      0.00      0.00  37326.06  11026.38
16:09:16    651.47   8355.95      0.00      0.00  37325.53  30657.15      0.00      0.00  37977.00  39013.10
16:09:17   3025.04  38782.19      0.00      0.00  28063.87  38965.53      0.00      0.00  31088.91  77747.72
16:09:18   3128.46  38564.04      0.00      0.00  28891.06  40523.88      0.00      0.00  32019.52  79087.92
16:09:19   2687.98  33088.20      0.00      0.00  28254.31  19828.46      0.00      0.00  30942.29  52916.65
16:09:20    773.95  11608.41      0.00      0.00  33366.65  30817.00      0.00      0.00  34140.60  42425.41
16:09:21   2919.42  47755.45      0.00      0.00  54958.08  61653.08      0.00      0.00  57877.49  109408.5
16:09:22   3133.35  66857.81      0.00      0.00  47498.75  47134.03      0.00      0.00  50632.10  113991.8
16:09:23    676.34  31223.28      0.00      0.00  44826.75  28061.01      0.00      0.00  45503.08  59284.29
16:09:24   1420.45  44327.54      0.00      0.00  50900.78  65192.05      0.00      0.00  52321.23  109519.6
16:09:25   2785.76  59550.17      0.00      0.00  39211.74  35999.08      0.00      0.00  41997.50  95549.24
16:09:26    455.73  28326.12      0.00      0.00  46293.43  23939.62      0.00      0.00  46749.16  52265.74
16:09:27    106.46  24318.38      0.00      0.00  67948.21  26799.60      0.00      0.00  68054.67  51117.98
16:09:28   1290.89  40310.33      0.00      0.00  52150.74  61646.17      0.00      0.00  53441.63  101956.5
16:09:29   3021.22  59836.32      0.00      0.00  42242.05  43594.56      0.00      0.00  45263.26  103430.9
16:09:30   1415.61  40658.41      0.00      0.00  39208.33  56544.93      0.00      0.00  40623.94  97203.33
16:09:31   2812.55  60755.53      0.00      0.00  42132.40  60042.42      0.00      0.00  44944.95  120798.0
16:09:32   3169.59  57510.43      0.00      0.00  42208.13  49746.09      0.00      0.00  45377.72  107256.5
16:09:33   2148.71  51211.59      0.00      0.00  41765.30  51698.96      0.00      0.00  43914.01  102910.6
16:09:34   2353.22  55248.27      0.00      0.00  53099.57  59309.98      0.00      0.00  55452.79  114558.3
16:09:35   2007.04  50714.54      0.00      0.00  49532.55  59604.02      0.00      0.00  51539.59  110318.6
16:09:36   3136.83  65714.29      0.00      0.00  38702.03  58784.43      0.00      0.00  41838.86  124498.7
16:09:37   3082.00  63048.13      0.00      0.00  54166.43  65998.70      0.00      0.00  57248.43  129046.8
16:09:38   2585.38  57999.10      0.00      0.00  53054.71  49685.15      0.00      0.00  55640.09  107684.3
16:09:39   2023.54  53732.72      0.00      0.00  53569.80  64042.69      0.00      0.00  55593.33  117775.4
16:09:40   1996.50  52917.31      0.00      0.00  79924.55  30448.19      0.00      0.00  81921.04  83365.50
16:09:41      1.05  29238.63      0.00      0.00  58400.12  29366.81      0.00      0.00  58401.17  58605.44
16:09:42      0.64  27357.33      0.00      0.00  49158.83  25146.40      0.00      0.00  49159.47  52503.73
16:09:43      1.08  26144.36      0.00      0.00  53258.88  27715.46      0.00      0.00  53259.97  53859.82
16:09:44      3.97  28970.52      0.00      0.00  58076.98  29286.66      0.00      0.00  58080.95  58257.18
16:09:45      0.06  28419.63      0.00      0.00  58727.06  30516.76      0.00      0.00  58727.12  58936.39
16:09:46      0.12  30118.24      0.00      0.00  57447.21  28685.73      0.00      0.00  57447.33  58803.97
16:09:47      0.98  25758.73      0.00      0.00  50725.24  24642.71      0.00      0.00  50726.22  50401.43
16:09:48      0.14  27622.01      0.00      0.00  65096.44  32387.09      0.00      0.00  65096.59  60009.10
16:09:49      0.21  34056.53      0.00      0.00  64319.03  32847.66      0.00      0.00  64319.25  66904.18
16:09:50      0.06  27911.32      0.00      0.00  53333.28  28485.42      0.00      0.00  53333.34  56396.74
16:09:51      1.09  33034.71      0.00      0.00  68480.93  35685.27      0.00      0.00  68482.01  68719.98
16:09:52      4.85  34788.87      0.00      0.00  65236.23  33849.66      0.00      0.00  65241.08  68638.53
16:09:53      2.12  32819.28      0.00      0.00  59332.06  31206.73      0.00      0.00  59334.17  64026.01
16:09:54      2.00  31491.35      0.00      0.00  58273.63  30737.51      0.00      0.00  58275.63  62228.87
16:09:55      4.26  31114.83      0.00      0.00  58212.24  31033.21      0.00      0.00  58216.49  62148.04
16:09:56      2.20  26633.52      0.00      0.00  51819.26  27310.45      0.00      0.00  51821.46  53943.97
16:09:57      4.92  30666.57      0.00      0.00  53702.26  28262.25      0.00      0.00  53707.18  58928.82
16:09:58      1.42  25564.45      0.00      0.00  46894.33  25462.46      0.00      0.00  46895.75  51026.90
16:09:59      6.87  28041.44      0.00      0.00  63226.70  31252.75      0.00      0.00  63233.58  59294.19
16:10:00      6.48  30068.57      0.00      0.00  47464.29  26078.38      0.00      0.00  47470.77  56146.96
16:10:01      1.16  24783.44      0.00      0.00  74719.14  28465.30      0.00      0.00  74720.30  53248.74
16:10:02      0.84  31497.71      0.00      0.00  58130.43  29647.43      0.00      0.00  58131.26  61145.15
16:10:03      0.64  29743.08      0.00      0.00  67258.41  33676.58      0.00      0.00  67259.05  63419.66
16:10:04      0.44  29990.99      0.00      0.00  50759.68  26222.80      0.00      0.00  50760.12  56213.79
16:10:05      0.79  28876.22      0.00      0.00  60902.17  30913.93      0.00      0.00  60902.97  59790.14
16:10:06      0.40  28894.08      0.00      0.00  52236.47  25765.73      0.00      0.00  52236.87  54659.81
16:10:07      0.40  28393.58      0.00      0.00  60471.67  29796.53      0.00      0.00  60472.07  58190.11
16:10:08      0.72  26380.36      0.00      0.00  51226.70  25329.75      0.00      0.00  51227.42  51710.11
16:10:09      0.06  27668.29      0.00      0.00  56418.81  27596.08      0.00      0.00  56418.87  55264.37
16:10:10      1.00  17870.86      0.00      0.00  17143.88   1196.79      0.00      0.00  17144.88  19067.65
16:10:11      0.64   1284.74      0.00      0.00  28284.25   1286.91      0.00      0.00  28284.89   2571.65
16:10:12      0.28   1437.51      0.00      0.00  32224.94   1501.72      0.00      0.00  32225.21   2939.23
16:10:13      0.64   1396.86      0.00      0.00  30291.82   1308.89      0.00      0.00  30292.46   2705.75
16:10:14      0.13   1188.53      0.00      0.00  26471.12   1364.40      0.00      0.00  26471.25   2552.93
16:10:15      0.06   1441.16      0.00      0.00  25531.70   1766.24      0.00      0.00  25531.77   3207.40
